,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,0.378,0.3883,0.3883,0.378,2000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-11,0.4395,0.4395,0.4395,0.4395,3000.0,0.0,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
2,2014-06-16,0.4001,0.4,0.4001,0.4,31000.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
3,2014-06-23,0.4309,0.4309,0.4309,0.4309,1000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
4,2014-06-27,0.4291,0.45,0.45,0.4291,131000.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
5,2014-06-30,0.45,0.45,0.45,0.45,5000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
6,2014-07-01,0.45,0.5,0.5001,0.45,39000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
7,2014-07-02,0.4499,0.542,0.542,0.4499,14000.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
8,2014-07-03,0.5418,0.5418,0.5418,0.5418,6000.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
9,2014-07-04,0.5417,0.5417,0.5417,0.5417,3000.0,0.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
10,2014-07-24,0.417,0.403,0.417,0.403,9000.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
11,2014-07-28,0.403,0.4993,0.4994,0.403,53000.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
12,2014-07-31,0.4033,0.403,0.4033,0.403,7000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
13,2014-08-01,0.4034,0.4034,0.4034,0.4034,1000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
14,2014-08-05,0.403,0.403,0.403,0.4029,43000.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
15,2014-08-06,0.403,0.403,0.403,0.403,1000.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
16,2014-08-14,0.4,0.42,0.42,0.3994,4000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
17,2014-08-28,0.3773,0.3766,0.3773,0.3766,5000.0,0.0,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
18,2014-09-01,0.3767,0.3767,0.3767,0.3767,7000.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
19,2014-09-04,0.3768,0.3767,0.3768,0.3767,2000.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
20,2014-09-08,0.3763,0.376,0.3763,0.376,6000.0,0.0,8.0,0.09,1474.38,1464.76,1478.26,1460.85,26433491805.0,6604117625006.14
21,2014-09-09,0.376,0.376,0.376,0.376,1000.0,0.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
22,2014-09-12,0.376,0.36,0.376,0.36,6000.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
23,2014-09-16,0.3505,0.4509,0.4509,0.35,3000.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
24,2014-10-01,0.35,0.35,0.35,0.35,1000.0,0.0,8.0,0.09,,,,,,
25,2014-10-03,0.473,0.467,0.473,0.467,2000.0,0.0,8.0,0.09,,,,,,
26,2014-10-08,0.341,0.399,0.399,0.341,23000.0,0.0,8.0,0.09,,,,,,
27,2014-10-16,0.35,0.35,0.35,0.35,1000.0,0.0,8.0,0.09,,,,,,
28,2014-10-20,0.35,0.35,0.35,0.35,1000.0,0.0,8.0,0.09,,,,,,
29,2014-10-30,0.394,0.399,0.399,0.394,2000.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
30,2014-11-03,0.435,0.351,0.442,0.351,6000.0,0.0,8.0,0.09,1488.15,1491.19,1495.86,1477.06,17481520523.0,7102462053889.69
31,2014-11-05,0.379,0.38,0.382,0.379,4000.0,0.0,9.5,0.09,1490.66,1495.26,1496.19,1471.25,35993706175.0,7121819234260.93
