,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-17,799.9,800.0,800.0,799.9,220.0,0.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
1,2014-06-26,775.0,800.0,800.0,775.0,200.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
2,2014-06-30,800.0,810.0,810.0,800.0,300.0,575499.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
3,2014-07-02,800.0,810.0,810.0,800.0,120.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
4,2014-07-03,815.0,815.0,815.0,815.0,100.0,578100.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
5,2014-07-04,820.0,820.0,820.0,820.0,130.0,684700.0,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
6,2014-07-09,819.7,820.0,820.0,819.7,200.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
7,2014-07-15,820.0,820.0,820.0,820.0,100.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
8,2014-07-23,820.0,820.0,820.0,820.0,400.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
9,2014-07-24,820.0,820.0,820.0,820.0,200.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
10,2014-07-29,820.0,820.0,825.0,820.0,320.0,754902.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
11,2014-07-30,830.0,830.0,830.0,830.0,100.0,837902.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
12,2014-08-01,752.0,835.0,835.0,752.0,20.0,853772.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
13,2014-08-05,829.9,830.0,830.0,829.9,390.0,1177470.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
14,2014-08-07,849.9,850.0,850.0,849.9,700.0,1280468.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
15,2014-08-26,832.0,832.0,832.0,832.0,290.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
16,2014-09-16,725.0,725.0,725.0,725.0,1020.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
17,2014-09-17,700.0,700.0,700.0,700.0,10.0,0.0,8.0,0.09,1477.09,1449.37,1477.09,1437.73,43639537600.0,6903283783164.72
18,2014-09-26,700.0,700.0,700.0,700.0,60.0,0.0,8.0,0.09,,,,,,
