,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-20,555.0,555.0,555.0,555.0,210.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
1,2014-06-26,555.0,555.0,555.0,555.0,100.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
2,2014-06-27,555.0,555.0,555.0,555.0,140.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
3,2014-06-30,503.0,555.0,555.0,503.0,210.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
4,2014-07-01,555.0,401.03,565.0,401.03,350.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
5,2014-07-02,555.0,555.0,555.0,555.0,200.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
6,2014-07-03,555.0,555.0,555.0,555.0,100.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
7,2014-07-11,554.9,442.0,555.0,442.0,2870.0,1950949.3,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
8,2014-07-15,525.0,525.0,525.0,525.0,200.0,1862939.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
9,2014-07-23,555.0,555.0,555.0,555.0,100.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
10,2014-07-24,425.0,425.0,425.0,425.0,10.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
11,2014-08-04,500.0,570.0,570.0,500.0,440.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
12,2014-08-05,555.0,457.0,559.99,457.0,520.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
13,2014-08-07,490.1,490.1,490.1,490.1,10.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
14,2014-08-08,560.0,560.0,560.0,560.0,1000.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
15,2014-08-14,599.0,599.0,599.0,599.0,140.0,1182929.3,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
16,2014-08-15,550.0,550.0,550.0,550.0,460.0,1435929.3,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
17,2014-08-18,600.0,500.5,600.0,500.5,1020.0,1799440.9,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
18,2014-08-19,550.0,650.0,650.0,550.0,290.0,1677271.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
19,2014-08-26,512.05,549.99,549.99,500.0,380.0,1304513.8,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
20,2014-08-28,538.0,538.0,538.0,538.0,10.0,1226033.8,8.0,0.09,1447.54,1423.78,1447.76,1414.18,43849484690.0,6419337314027.56
21,2014-09-02,539.99,540.0,540.0,539.99,70.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
22,2014-09-11,540.0,500.0,540.0,500.0,380.0,0.0,8.0,0.09,1469.4,1449.63,1479.05,1449.1,30806370159.0,6535893707699.45
23,2014-09-19,500.0,500.0,500.0,500.0,40.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
24,2014-09-22,500.0,500.0,500.0,500.0,220.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
25,2014-09-24,500.0,500.0,500.0,500.0,10.0,0.0,8.0,0.09,,,,,,
26,2014-09-30,499.99,500.0,500.0,499.99,30.0,0.0,8.0,0.07,,,,,,
27,2014-10-02,525.0,526.0,526.0,525.0,1000.0,0.0,8.0,0.09,,,,,,
28,2014-10-03,450.0,500.0,500.0,450.0,510.0,899319.9,8.0,0.09,,,,,,
29,2014-10-07,527.0,526.0,550.0,526.0,1510.0,1040360.0,8.0,0.09,,,,,,
30,2014-10-09,500.0,500.0,500.0,500.0,30.0,1055360.0,8.0,0.08,,,,,,
31,2014-10-15,500.0,500.0,500.0,500.0,20.0,1590390.0,8.0,0.09,,,,,,
32,2014-10-16,500.0,500.0,500.0,500.0,880.0,1505360.0,8.0,0.09,,,,,,
33,2014-10-23,500.0,500.0,500.0,500.0,10.0,0.0,8.0,0.09,,,,,,
34,2014-10-29,555.0,555.0,555.0,555.0,140.0,0.0,8.0,0.09,1415.53,1439.58,1441.98,1411.0,36586717584.0,6856662513241.23
35,2014-10-30,510.0,510.0,510.0,510.0,440.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
36,2014-10-31,501.0,500.0,501.0,500.0,360.0,0.0,8.0,0.07,1453.89,1488.47,1488.47,1453.89,51863127433.0,7089520800994.4
37,2014-11-10,500.0,500.0,500.0,500.0,10.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
38,2014-11-11,600.0,500.0,600.0,500.0,230.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
39,2014-11-19,461.0,460.0,461.0,460.0,70.0,0.0,9.5,0.1,1519.69,1517.97,1524.1,1513.68,31482266937.0,7230003229613.9
40,2014-11-24,500.0,500.0,500.0,500.0,10.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
41,2014-11-28,580.0,540.0,580.0,540.0,220.0,0.0,9.5,0.08,1531.34,1533.68,1540.07,1518.45,45610410708.0,7304816361041.94
42,2014-12-01,579.0,515.0,579.0,515.0,20.0,0.0,9.5,0.13,1532.89,1578.38,1598.19,1525.35,62166248251.0,7517749945811.61
43,2014-12-02,501.0,500.0,501.0,481.0,330.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
44,2014-12-03,499.0,500.0,501.0,499.0,560.0,0.0,9.5,0.12,1583.62,1606.84,1608.92,1578.93,47389306057.0,7653293169132.22
45,2014-12-08,500.0,567.0,567.0,498.0,4010.0,2005550.0,9.5,0.12,1529.73,1481.27,1551.66,1476.02,46772419082.0,7055222590397.55
46,2014-12-12,500.0,500.0,510.0,500.0,750.0,2380650.0,10.5,0.12,1453.8,1459.68,1488.4,1413.04,51200831401.0,6952391085611.55
47,2014-12-15,500.0,500.0,500.0,500.0,900.0,825100.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
48,2014-12-17,500.0,500.0,500.0,500.0,110.0,880100.0,17.0,0.13,1445.53,1413.79,1476.19,1389.63,81076784417.0,6553645114861.3
49,2014-12-18,500.0,500.0,500.0,500.0,290.0,1025100.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
50,2014-12-19,500.0,400.0,500.0,400.0,6250.0,3201050.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
51,2014-12-22,412.0,412.0,412.0,412.0,1000.0,3163050.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
52,2014-12-23,354.0,450.0,450.0,354.0,1020.0,3326050.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
53,2014-12-26,500.0,500.0,505.0,500.0,20040.0,14046050.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
54,2014-12-30,522.0,500.0,522.0,500.0,740.0,13982110.0,17.0,0.13,1429.68,1396.61,1430.01,1378.54,26156334473.0,6473977848191.16
55,2015-01-05,460.0,500.0,500.0,460.0,5070.0,16262110.0,17.0,0.12,1394.66,1435.66,1438.91,1390.53,15320687285.0,6655000193417.98
56,2015-01-08,415.0,415.0,415.0,415.0,10.0,13570210.0,17.0,0.12,1482.12,1547.39,1564.87,1481.93,35505063516.0,7172914288797.3
57,2015-01-12,548.0,548.0,548.0,548.0,100.0,0.0,17.0,0.12,1515.23,1513.22,1534.74,1503.49,23419055856.0,7014538161692.29
58,2015-01-16,500.0,500.0,500.0,500.0,20.0,0.0,17.0,0.13,1563.21,1591.43,1594.06,1551.01,30068854489.0,7377090247817.62
59,2015-01-21,500.0,500.0,500.0,500.0,320.0,0.0,17.0,0.12,1570.59,1618.17,1619.32,1570.59,31259697570.0,7501017864593.01
60,2015-01-23,500.0,500.0,500.0,500.0,10.0,0.0,17.0,0.12,1667.99,1671.8,1700.78,1662.11,44311526698.0,7749626061678.21
61,2015-01-26,500.0,500.0,500.0,500.0,360.0,0.0,17.0,0.12,1670.23,1642.37,1670.3,1622.02,36919529789.0,7613229340218.56
62,2015-01-29,500.0,500.0,500.0,500.0,360.0,0.0,17.0,0.11,1647.11,1639.65,1675.57,1639.65,38654354336.0,7600620681057.92
63,2015-02-02,500.0,500.0,500.0,500.0,10.0,0.0,15.0,0.12,1647.74,1625.31,1663.94,1616.27,43204113857.0,7534123046528.33
64,2015-02-03,550.0,580.0,580.0,550.0,300.0,0.0,15.0,0.12,1626.65,1654.36,1667.59,1626.65,36684677691.0,7668789955800.34
65,2015-02-05,580.0,590.0,590.0,580.0,370.0,0.0,15.0,0.12,1654.97,1696.06,1698.83,1642.51,47193997103.0,7862101858309.86
66,2015-02-09,502.0,648.0,648.0,502.0,210.0,0.0,15.0,0.12,1755.7,1748.55,1830.0,1740.58,63280101174.0,8105398913722.94
67,2015-02-10,600.0,600.0,600.0,600.0,7000.0,0.0,15.0,0.12,1748.02,1742.35,1774.06,1729.77,32450702270.0,8076689298854.4
68,2015-02-13,500.0,500.0,500.0,500.0,10.0,0.0,15.0,0.12,1802.88,1838.18,1839.71,1802.88,75313894394.0,8520878105106.55
69,2015-02-20,500.0,500.0,500.0,500.0,40.0,0.0,15.0,0.12,1797.88,1792.7,1809.24,1780.0,31928247145.0,8310073504191.34
70,2015-03-02,590.0,590.0,590.0,590.0,20.0,0.0,15.0,0.12,1759.25,1783.34,1789.54,1759.18,28597842943.0,8266656116234.64
71,2015-03-17,500.0,500.0,500.0,500.0,710.0,0.0,14.0,0.12,1609.96,1611.69,1627.54,1603.78,33791281594.0,7570574026221.38
72,2015-04-01,451.0,451.0,451.0,451.0,10.0,0.0,14.0,0.12,1625.21,1661.9,1663.17,1613.77,38455199985.0,7806427453172.54
73,2015-04-16,450.0,450.0,450.0,450.0,10.0,0.0,14.0,0.13,1678.04,1686.79,1689.29,1661.38,44360086518.0,7923364850234.14
74,2015-05-05,500.0,500.0,500.0,500.0,360.0,0.0,12.5,0.13,1689.55,1721.8,1734.34,1689.2,43125027992.0,8087817879485.78
75,2015-05-27,539.0,550.0,550.0,539.0,1010.0,0.0,12.5,0.12,1651.73,1660.98,1664.29,1637.42,35786417716.0,7802124299989.31
76,2015-06-01,379.0,441.0,441.0,379.0,30.0,0.0,12.5,0.12,1610.07,1616.94,1640.93,1610.07,30875246625.0,7595236170641.53
77,2015-06-02,588.0,588.0,588.0,588.0,10.0,0.0,12.5,0.12,1616.97,1643.41,1650.64,1612.78,28435405398.0,7719601891098.58
78,2015-06-03,674.0,674.0,674.0,674.0,10.0,577020.0,12.5,0.13,1643.99,1628.87,1653.53,1615.96,36210821998.0,7651274252638.93
79,2015-06-09,715.0,500.0,715.0,500.0,910.0,1035110.0,12.5,0.13,1646.89,1664.01,1666.06,1637.38,29188778226.0,7816347897695.82
80,2015-06-10,697.0,560.0,697.0,550.0,50.0,0.0,12.5,0.13,1664.03,1653.09,1667.2,1650.89,26617709919.0,7765050254732.37
81,2015-06-11,649.0,500.0,649.0,500.0,20.0,0.0,12.5,0.13,1653.06,1652.24,1654.91,1638.13,27749015557.0,7761077256509.68
82,2015-06-19,530.0,630.0,630.0,530.0,160.0,598790.0,11.5,0.13,1660.56,1663.03,1665.71,1655.53,26196350748.0,7792769676792.86
