,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-18,18.0,18.0,18.0,18.0,1000.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
1,2014-06-26,19.898,23.6,25.144,19.898,65000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
2,2014-07-15,15.0,15.0,15.0,15.0,2000.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
3,2014-08-05,17.0,17.0,17.0,17.0,2000.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
4,2014-08-07,17.0,17.0,17.0,17.0,1000.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
5,2014-08-15,18.999,19.0,19.0,18.999,9000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
6,2014-09-01,16.5,17.0,17.9,12.0,50000.0,813613.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
7,2014-09-02,19.0,19.0,19.0,19.0,40000.0,1573613.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
8,2014-09-03,19.0,19.0,19.0,19.0,1000.0,1592613.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
9,2014-10-13,17.75,17.75,17.75,17.75,44000.0,0.0,8.0,0.09,,,,,,
10,2014-10-23,12.0,12.0,12.0,12.0,1000.0,793000.0,8.0,0.09,,,,,,
11,2014-10-27,18.15,12.25,18.15,12.25,2000.0,0.0,8.0,0.09,,,,,,
12,2014-10-28,17.6,17.6,17.6,13.8,3000.0,0.0,8.0,0.09,,,,,,
13,2014-10-29,14.0,14.0,14.0,14.0,1000.0,0.0,8.0,0.09,1415.53,1439.58,1441.98,1411.0,36586717584.0,6856662513241.23
14,2014-10-30,18.0,12.1,18.0,12.1,10000.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
15,2014-11-10,11.3,16.0,16.0,11.3,2000.0,0.0,9.5,0.09,1498.62,1515.36,1518.73,1498.59,36072189835.0,7217582952688.41
16,2014-11-18,11.5,11.5,11.5,11.5,1000.0,0.0,9.5,0.11,1506.78,1519.61,1524.8,1495.09,37626778528.0,7237803241252.88
17,2014-11-25,18.15,18.15,18.15,18.15,1000.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
18,2014-11-26,19.0,19.0,19.0,19.0,1000.0,0.0,9.5,0.1,1528.83,1537.43,1537.43,1522.5,30877259958.0,7322717397660.45
19,2014-11-27,18.95,19.0,19.0,12.05,5000.0,0.0,9.5,0.1,1537.0,1531.69,1548.17,1528.06,39939357345.0,7295336331196.54
20,2014-11-28,19.0,19.0,19.0,19.0,1000.0,0.0,9.5,0.08,1531.34,1533.68,1540.07,1518.45,45610410708.0,7304816361041.94
21,2014-12-15,19.0,16.0,20.1,12.0,12000.0,0.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
22,2014-12-16,16.0,16.0,16.0,16.0,2000.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
23,2014-12-18,21.95,22.0,22.35,21.95,12000.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
24,2014-12-19,22.35,23.0,23.0,22.35,28000.0,1111950.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
25,2014-12-23,16.0,16.0,16.0,16.0,1000.0,1127950.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
26,2015-03-11,14.0,14.0,14.0,14.0,1000.0,0.0,15.0,0.11,1665.41,1671.47,1692.31,1655.32,36032409936.0,7748100580259.65
27,2015-04-09,14.0,10.6,14.0,10.6,2000.0,0.0,14.0,0.12,1683.1,1667.6,1683.1,1648.36,54277594144.0,7833204237643.74
28,2015-06-19,13.55,16.0,16.0,13.55,12000.0,0.0,11.5,0.13,1660.56,1663.03,1665.71,1655.53,26196350748.0,7792769676792.86
29,2015-07-13,16.0,16.0,16.0,16.0,1000.0,0.0,11.5,0.13,1618.23,1642.97,1642.97,1617.17,36864576019.0,7698783040434.26
30,2015-07-24,22.0,16.1,22.0,16.1,2000.0,0.0,11.5,0.13,1615.69,1595.61,1622.3,1593.07,28837860037.0,7476856405917.96
31,2015-08-13,16.1,16.1,16.1,16.1,2000.0,0.0,11.0,0.15,1697.59,1704.11,1713.25,1689.99,26640564079.0,7985253574848.35
