,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-11-11,3250.0,3250.0,3250.0,3250.0,1.0,0.0,9.5,0.09,1515.08,1514.78,1531.92,1511.53,38459111229.0,7214829498289.61
1,2015-04-28,2990.0,2990.0,2990.0,2990.0,1.0,0.0,14.0,0.13,1676.32,1677.89,1682.19,1667.34,29507739404.0,7881536409968.25
2,2015-05-07,2990.0,1840.0,3480.0,1800.0,14.0,0.0,12.5,0.13,1713.09,1686.98,1713.09,1676.21,31098521960.0,7924258812311.12
3,2015-05-08,2560.0,2570.0,2570.0,1830.0,9.0,0.0,12.5,0.13,1686.94,1708.52,1713.6,1684.09,27195697237.0,8025429242650.36
4,2015-05-12,2570.0,2930.0,2930.0,1820.0,5.0,0.0,12.5,0.13,1708.42,1704.62,1720.01,1689.29,36154421259.0,8007124684070.27
5,2015-05-26,2980.0,2980.0,2980.0,2980.0,1.0,0.0,12.5,0.12,1655.85,1651.66,1666.87,1646.09,28194503099.0,7758340018940.61
6,2015-06-09,1830.0,2500.0,2980.0,1830.0,18.0,0.0,12.5,0.13,1646.89,1664.01,1666.06,1637.38,29188778226.0,7816347897695.82
7,2015-06-10,2880.0,3360.0,3360.0,2880.0,2.0,0.0,12.5,0.13,1664.03,1653.09,1667.2,1650.89,26617709919.0,7765050254732.37
8,2015-06-11,2140.0,2340.0,2340.0,2140.0,19.0,0.0,12.5,0.13,1653.06,1652.24,1654.91,1638.13,27749015557.0,7761077256509.68
9,2015-06-16,2150.0,2100.0,2150.0,2100.0,4.0,0.0,11.5,0.14,1657.37,1668.82,1674.11,1649.16,26617346477.0,7819903168093.14
10,2015-06-18,1990.0,1980.0,1990.0,1980.0,3.0,0.0,11.5,0.14,1664.65,1660.14,1671.88,1658.41,23118394361.0,7779215175262.67
11,2015-06-19,1990.0,2200.0,2200.0,1990.0,6.0,0.0,11.5,0.13,1660.56,1663.03,1665.71,1655.53,26196350748.0,7792769676792.86
12,2015-06-23,2100.0,2100.0,2100.0,2100.0,4.0,0.0,11.5,0.13,1672.27,1657.23,1676.22,1656.39,21998214130.0,7765590532621.53
13,2015-06-29,2100.0,2100.0,2100.0,2100.0,3.0,0.0,11.5,0.14,1644.45,1634.93,1644.45,1625.71,19158469469.0,7661081778646.17
14,2015-06-30,2100.0,2100.0,2100.0,2100.0,4.0,0.0,11.5,0.08,1634.93,1654.55,1655.25,1626.02,28374822458.0,7753030422842.97
15,2015-07-07,2100.0,1950.0,2100.0,1950.0,11.0,0.0,11.5,0.13,1621.35,1614.14,1629.59,1606.28,28421883734.0,7563679320768.21
16,2015-07-08,2200.0,2200.0,2200.0,2200.0,21.0,0.0,11.5,0.13,1614.14,1595.0,1616.6,1573.95,34970227613.0,7474001386734.78
17,2015-07-20,1870.0,1890.0,2000.0,1860.0,15.0,0.0,11.5,0.14,1650.09,1626.76,1652.05,1619.44,22460865407.0,7622809719990.76
