,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2013-03-25,0.05181,0.05043,0.05194,0.05038,35450700000.0,4028315757.41,5.5,0.15,1441.26,1428.46,1458.58,1425.78,29212972358.0,4685485402225.87
1,2013-03-26,0.05069,0.0494,0.0525,0.04865,5608020000.0,3343099693.44,5.5,0.14,1427.99,1417.0,1432.41,1412.41,35279244171.0,4647902216604.81
2,2013-03-27,0.04946,0.04821,0.04987,0.04766,4061610000.0,2794060959.32,5.5,0.12,1416.78,1425.0,1426.68,1407.22,33964026675.0,4674146849765.3
3,2013-03-28,0.0477,0.04979,0.04988,0.0477,4234170000.0,2646762957.53,5.5,0.13,1424.56,1434.18,1434.38,1414.96,37964361070.0,4704265598220.23
4,2013-03-29,0.05,0.04987,0.05,0.04954,1211060000.0,634719522.32,5.5,0.09,1434.88,1438.57,1440.1,1432.8,10120213882.0,4718644324106.3
5,2013-04-01,0.04945,0.04924,0.0503,0.04918,2362870000.0,1041294930.39,5.5,0.16,1438.84,1428.47,1442.7,1427.83,12718423398.0,4685543843610.84
6,2013-04-02,0.04955,0.04915,0.04984,0.04901,3744050000.0,1343708392.27,5.5,0.15,1428.29,1430.3,1435.12,1424.9,23890774042.0,4691516343146.72
7,2013-04-03,0.04893,0.04825,0.05202,0.04825,7520910000.0,2191406650.87,5.5,0.14,1430.3,1427.94,1433.81,1422.48,26439439095.0,4683804410061.0
8,2013-04-04,0.0481,0.04726,0.049,0.04726,6351970000.0,2719761317.36,5.5,0.14,1427.42,1426.87,1440.62,1416.75,36268432074.0,4680280285907.06
9,2013-04-05,0.04761,0.04693,0.04781,0.04511,12474640000.0,3663534772.55,5.5,0.15,1426.61,1416.69,1430.55,1410.47,31492181208.0,4646893178186.05
10,2013-04-08,0.04687,0.04755,0.04842,0.0466,10759550000.0,4513641538.33,5.5,0.15,1417.28,1408.55,1430.58,1406.67,25323378471.0,4620198596859.02
11,2013-04-09,0.04834,0.04921,0.04977,0.04774,9585380000.0,2634038963.68,5.5,0.15,1408.81,1425.49,1427.29,1408.81,25693833642.0,4675762002101.02
12,2013-04-10,0.04905,0.04813,0.0497,0.04787,7662430000.0,2456691931.58,5.5,0.15,1425.79,1425.5,1432.55,1419.96,28034210901.0,4675796003727.1
13,2013-04-11,0.0484,0.04792,0.04848,0.04737,14207590000.0,2510695070.46,5.5,0.15,1425.19,1401.73,1428.84,1397.82,29775114562.0,4597805773999.32
14,2013-04-12,0.04774,0.04696,0.04796,0.04658,8458320000.0,1841825219.31,5.5,0.15,1400.92,1385.84,1401.46,1380.57,26881547102.0,4545695451169.55
15,2013-04-15,0.04682,0.04565,0.04684,0.0454,10690060000.0,1659370248.59,5.5,0.15,1385.62,1359.69,1387.94,1351.83,36136942147.0,4459925087360.65
16,2013-04-16,0.0453,0.04536,0.04676,0.0452,12693450000.0,2157873907.75,5.5,0.15,1358.23,1352.37,1366.45,1349.93,28185620093.0,4435921503797.14
17,2013-04-17,0.04582,0.04389,0.04584,0.04359,12995680000.0,2101481181.52,5.5,0.15,1353.41,1335.89,1358.61,1328.84,31350713378.0,4381847280135.27
