,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-09,5.5,5.5,5.5,5.5,10000.0,0.0,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
1,2014-06-16,5.5,5.5,5.5,5.5,4000.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
2,2014-06-20,5.2,5.2,5.2,5.2,1000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
3,2014-06-24,5.222,5.222,5.222,5.222,2000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
4,2014-06-25,5.111,5.0,5.111,5.0,67000.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
5,2014-06-26,5.0,5.0,5.499,4.999,35000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
6,2014-07-08,5.1,5.1,5.1,5.1,20000.0,0.0,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
7,2014-07-11,5.011,5.0,5.011,5.0,15000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
8,2014-07-17,5.0,5.0,5.111,5.0,103000.0,590537.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
9,2014-07-23,5.596,6.4,6.4,5.596,133000.0,748895.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
10,2014-07-24,6.0,6.0,6.0,6.0,1000.0,754895.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
11,2014-07-28,6.2,6.4,6.4,6.2,3000.0,773895.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
12,2014-07-30,6.4,6.0,7.0,6.0,92000.0,1859999.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
13,2014-07-31,6.5,6.5,6.5,6.5,21000.0,726100.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
14,2014-08-01,6.001,6.001,6.001,6.001,1000.0,732101.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
15,2014-08-07,6.004,6.0,6.004,6.0,23000.0,870109.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
16,2014-08-12,5.504,6.0,6.001,5.5,14000.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
17,2014-08-13,5.999,6.0,6.0,5.999,6000.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
18,2014-08-14,5.8,5.8,5.8,5.8,2000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
19,2014-08-15,6.0,6.5,6.5,6.0,6000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
20,2014-08-25,5.7,6.0,6.0,5.6,37000.0,0.0,8.0,0.09,1446.86,1454.67,1456.72,1446.09,17577741392.0,6558630723741.41
21,2014-08-26,6.2,6.2,6.2,6.2,65000.0,696669.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
22,2014-09-03,6.199,6.5,6.5,6.199,4000.0,637698.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
23,2014-09-04,5.501,5.741,5.741,5.5,65000.0,0.0,8.0,0.09,1449.51,1457.34,1462.03,1439.38,34234449476.0,6570639817053.64
24,2014-09-05,5.8,5.8,5.8,5.8,1000.0,0.0,8.0,0.09,1456.0,1474.71,1481.15,1446.95,37451362820.0,6648981302593.65
25,2014-09-10,5.801,5.757,5.801,5.757,4000.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
26,2014-09-22,6.0,6.0,6.0,6.0,1000.0,0.0,8.0,0.09,1431.12,1412.83,1436.21,1412.83,24222806047.0,6729253251808.7
27,2014-09-23,5.999,5.528,6.03,5.01,31000.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
28,2014-09-24,5.997,5.75,6.0,5.75,6000.0,0.0,8.0,0.09,,,,,,
