,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2022-12-14,239.0,185.4,258.72,157.0,2824316.0,525018163.29,7.5,3.83,2171.12,2159.81,2171.31,2154.65,20963085762.75,10648190103411.47
1,2022-12-15,185.0,182.8,188.3,182.64,1001160.0,184237075.83,7.5,4.33,2151.69,2126.8,2151.69,2115.21,30466746003.55,10485422934974.064
2,2022-12-16,182.81,155.0,183.98,135.6,2727321.0,440381101.88,7.5,4.33,2118.43,2132.75,2135.79,2116.08,19713454690.15,10392622956492.56
3,2022-12-19,155.0,159.13,175.0,145.01,1042544.0,169676718.96,7.5,4.33,2131.33,2129.98,2139.07,2109.56,30518978665.2,10379137903600.266
4,2022-12-20,159.0,160.48,168.5,158.0,229501.0,37566843.29,7.5,4.33,2071.1,2119.37,2119.37,2070.58,34192361634.1,10327435125487.426
5,2022-12-21,161.5,160.67,171.0,157.0,390665.0,63855691.36,7.5,4.33,2135.41,2116.13,2139.49,2102.24,30181774160.05,10311637566810.248
6,2022-12-22,160.67,159.4,162.78,159.0,116264.0,18620506.17,7.5,4.33,2124.37,2122.91,2134.48,2114.91,22386857843.15,10344685411592.67
7,2022-12-23,160.9,158.0,161.0,157.6,71591.0,11381027.8,7.5,4.33,2121.99,2124.02,2128.27,2110.59,17531982626.35,10350082657423.377
8,2022-12-26,158.92,165.0,172.5,158.52,602990.0,99876398.59,7.5,4.33,2126.4,2139.21,2139.78,2126.4,21299933246.1,10424089206626.158
9,2022-12-27,164.06,162.7,169.0,161.6,122167.0,20021495.4,7.5,4.33,2142.08,2150.92,2154.35,2138.11,21591490276.15,10481169442628.35
10,2022-12-28,162.7,164.83,168.4,162.7,78662.0,13035024.54,7.5,4.33,2150.12,2139.77,2152.47,2136.68,18811163578.05,10426825462941.941
11,2022-12-29,164.0,166.02,168.6,163.24,104047.0,17279768.36,7.5,4.33,2135.91,2147.06,2149.94,2134.48,15793852418.55,10462372983907.627
12,2022-12-30,166.03,162.0,170.0,160.0,140478.0,22966970.1,7.5,4.33,2149.83,2154.12,2154.47,2139.79,16664943291.65,10496755616515.164
13,2023-01-03,174.95,166.0,174.95,162.51,118869.0,20080287.42,7.5,4.33,2157.18,2172.68,2174.23,2157.18,12690309378.95,10587205427528.945
14,2023-01-04,164.57,165.09,166.99,164.0,49568.0,8199407.57,7.5,4.33,2171.54,2168.42,2179.56,2162.06,11510044721.05,10566458572232.715
15,2023-01-05,165.1,164.89,166.46,163.65,24883.0,4102194.58,7.5,4.33,2170.4,2156.67,2171.94,2154.16,9783315405.0,10509198790874.674
16,2023-01-06,163.9,164.0,165.98,163.33,21539.0,3537065.32,7.5,4.33,2157.32,2156.39,2160.08,2153.32,7622557637.8,10507820085549.648
17,2023-01-09,164.0,163.9,165.19,163.05,38663.0,6328021.49,7.5,4.33,2163.43,2163.5,2169.71,2162.01,18179113212.1,10542458891228.162
18,2023-01-10,161.04,163.97,171.7,161.04,148854.0,24743959.15,7.5,4.33,2162.7,2159.51,2162.92,2145.14,14600174654.45,10523040550266.934
19,2023-01-11,162.3,162.87,164.91,158.47,121047.0,19615993.29,7.5,4.33,2156.28,2186.98,2190.4,2153.55,35257346290.55,10656881539701.537
20,2023-01-12,162.69,162.59,164.58,161.5,49430.0,8027830.75,7.5,4.33,2193.53,2185.93,2194.8,2177.36,21456804414.0,10651792146929.168
21,2023-01-13,161.96,162.75,169.2,159.0,70949.0,11613059.52,7.5,4.33,2188.6,2199.94,2204.18,2179.82,27688238742.05,10720048216694.314
22,2023-01-16,162.0,163.28,164.82,161.9,44475.0,7269457.99,7.5,4.33,2204.64,2224.9,2224.9,2204.46,27333518945.0,10841688614949.182
23,2023-01-17,164.0,162.38,166.9,162.1,85639.0,14042480.85,7.5,4.33,2225.26,2196.84,2226.49,2196.84,31460321183.45,10704919197227.865
24,2023-01-18,162.38,162.53,164.86,162.11,51663.0,8431907.43,7.5,4.33,2188.9,2196.26,2206.66,2177.65,24434857167.75,10702112236966.963
25,2023-01-19,163.02,163.6,163.9,161.51,59467.0,9697924.51,7.5,4.33,2190.02,2168.83,2193.93,2162.11,25621313385.4,10568454598232.611
26,2023-01-20,163.79,163.16,164.0,162.27,19087.0,3110771.06,7.5,4.33,2167.61,2166.69,2173.71,2154.37,18882607247.05,10558003980397.912
