,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-16,11.0,11.0,11.0,11.0,9000.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
1,2014-06-20,11.0,11.0,11.0,11.0,4000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
2,2014-07-01,11.0,11.0,11.0,11.0,7000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
3,2014-07-16,15.4,12.5,15.4,12.5,9000.0,0.0,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
4,2014-07-17,13.5,13.5,13.5,13.5,1000.0,0.0,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
5,2014-07-30,11.0,14.0,14.0,11.0,14000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
6,2014-08-01,14.0,14.0,14.0,14.0,2000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
7,2014-08-07,11.6,11.6,11.6,11.6,1000.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
8,2014-08-13,13.5,13.5,13.5,13.5,4000.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
9,2014-08-22,12.7,13.2,13.2,12.7,3000.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
10,2014-09-15,13.5,13.5,13.5,13.5,1000.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
11,2014-09-29,12.4,12.4,12.4,12.4,1000.0,0.0,8.0,0.08,,,,,,
12,2014-10-09,15.35,15.35,15.35,15.35,1000.0,0.0,8.0,0.08,,,,,,
13,2014-10-10,12.45,12.45,12.45,12.45,1000.0,0.0,8.0,0.09,,,,,,
14,2014-10-23,11.25,13.5,13.5,11.25,6000.0,0.0,8.0,0.09,,,,,,
15,2014-11-24,15.25,15.25,15.25,15.25,1000.0,0.0,9.5,0.1,1539.95,1529.54,1541.75,1521.83,31750458256.0,7285128652947.91
16,2014-11-25,15.25,15.25,15.25,15.25,1000.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
17,2014-12-15,15.0,15.0,15.0,15.0,1000.0,0.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
18,2014-12-18,15.0,15.0,15.0,15.0,3000.0,0.0,17.0,0.13,1417.41,1477.27,1506.13,1417.41,78761569805.0,6847878823692.59
19,2014-12-19,12.35,15.0,15.0,12.35,2000.0,0.0,17.0,0.13,1477.36,1449.13,1488.34,1417.68,44856913714.0,6717440284468.56
20,2014-12-24,15.0,15.0,15.0,15.0,24000.0,0.0,17.0,0.13,1398.2,1401.5,1411.56,1383.61,28015719243.0,6496652700159.9
21,2014-12-25,15.0,15.0,15.0,15.0,1000.0,0.0,17.0,0.13,1401.47,1408.54,1410.06,1383.91,23569010203.0,6529289258920.08
22,2014-12-26,15.0,15.0,15.0,15.0,1000.0,0.0,17.0,0.13,1409.02,1417.8,1432.41,1409.02,21938441630.0,6572219511259.2
23,2015-01-21,15.0,15.0,15.0,15.0,1000.0,0.0,17.0,0.12,1570.59,1618.17,1619.32,1570.59,31259697570.0,7501017864593.01
24,2015-02-10,15.15,15.15,15.15,15.15,1000.0,0.0,15.0,0.12,1748.02,1742.35,1774.06,1729.77,32450702270.0,8076689298854.4
25,2015-02-26,15.5,16.5,16.5,15.5,70000.0,0.0,15.0,0.11,1746.79,1760.66,1769.53,1735.27,40878525521.0,8161537848495.47
26,2015-03-02,16.5,16.5,16.5,16.5,70000.0,0.0,15.0,0.12,1759.25,1783.34,1789.54,1759.18,28597842943.0,8266656116234.64
27,2015-03-04,15.0,16.25,16.25,13.05,6000.0,2362650.0,15.0,0.11,1807.71,1759.35,1816.23,1756.33,32963701938.0,8155467579648.85
28,2015-03-12,16.25,16.25,16.25,16.25,1000.0,2378900.0,15.0,0.11,1671.71,1664.7,1681.09,1656.35,28247784352.0,7716740491854.74
29,2015-03-20,20.0,20.0,20.0,20.0,2000.0,0.0,14.0,0.12,1607.97,1628.64,1641.84,1599.57,57392320231.0,7650208484903.01
30,2015-03-23,19.0,14.0,19.0,14.0,2000.0,0.0,14.0,0.12,1629.29,1602.85,1639.06,1597.64,31172311202.0,7529051648399.15
31,2015-03-25,15.0,12.2,15.0,8.4,12000.0,0.0,14.0,0.12,1618.62,1615.5,1626.05,1595.9,27484903291.0,7588504026605.77
32,2015-03-26,15.0,15.15,15.25,15.0,5000.0,0.0,14.0,0.11,1615.54,1581.84,1633.27,1574.11,36714811490.0,7430371966734.89
33,2015-03-30,11.15,11.25,11.25,11.15,3000.0,0.0,14.0,0.12,1571.77,1612.84,1615.55,1571.62,28725942381.0,7575988621535.56
34,2015-04-01,14.7,15.5,15.5,14.7,5000.0,0.0,14.0,0.12,1625.21,1661.9,1663.17,1613.77,38455199985.0,7806427453172.54
35,2015-04-20,11.35,11.35,11.35,11.35,1000.0,0.0,14.0,0.13,1657.63,1683.24,1691.93,1655.75,42410329020.0,7906687598366.14
36,2015-04-28,14.95,14.95,14.95,14.95,6000.0,0.0,14.0,0.13,1676.32,1677.89,1682.19,1667.34,29507739404.0,7881536409968.25
37,2015-04-29,14.0,14.0,14.0,14.0,1000.0,0.0,14.0,0.13,1677.89,1670.99,1694.28,1666.52,26159937335.0,7849120167986.69
38,2015-05-26,11.45,12.0,12.0,11.0,8000.0,0.0,12.5,0.12,1655.85,1651.66,1666.87,1646.09,28194503099.0,7758340018940.61
39,2015-05-28,15.15,15.15,15.15,15.15,1000.0,0.0,12.5,0.12,1660.65,1657.62,1678.64,1656.17,30309010225.0,7786346001005.87
40,2015-06-03,13.65,16.25,16.25,13.65,3000.0,0.0,12.5,0.13,1643.99,1628.87,1653.53,1615.96,36210821998.0,7651274252638.93
41,2015-06-04,14.7,14.65,14.7,14.65,2000.0,0.0,12.5,0.13,1628.8,1638.07,1644.36,1627.02,33645228033.0,7694497422111.94
42,2015-06-16,13.85,13.85,13.85,13.85,1000.0,0.0,11.5,0.14,1657.37,1668.82,1674.11,1649.16,26617346477.0,7819903168093.14
43,2015-06-17,16.0,14.05,16.0,13.9,5000.0,0.0,11.5,0.14,1668.84,1664.66,1678.91,1661.75,24988440340.0,7800414780965.41
44,2015-06-18,16.0,14.1,16.0,14.05,4000.0,0.0,11.5,0.14,1664.65,1660.14,1671.88,1658.41,23118394361.0,7779215175262.67
45,2015-06-19,16.0,16.0,16.0,16.0,1000.0,0.0,11.5,0.13,1660.56,1663.03,1665.71,1655.53,26196350748.0,7792769676792.86
46,2015-07-13,16.7,16.75,16.75,16.7,10000.0,0.0,11.5,0.13,1618.23,1642.97,1642.97,1617.17,36864576019.0,7698783040434.26
47,2015-07-22,16.25,16.25,16.25,16.25,10000.0,0.0,11.5,0.13,1634.89,1635.63,1635.63,1620.47,26862692731.0,7664372322742.18
48,2015-08-04,16.35,17.4,17.4,16.35,20000.0,0.0,11.0,0.14,1663.31,1674.46,1676.58,1659.16,28420615882.0,7846332436974.8
49,2015-08-05,17.4,15.05,17.4,14.0,37000.0,563550.0,11.0,0.14,1674.63,1693.07,1696.8,1665.12,32158856424.0,7933514275258.32
50,2015-08-06,16.95,16.85,17.4,14.5,74000.0,1150050.0,11.0,0.14,1693.07,1675.71,1698.3,1670.57,31888293343.0,7852196896808.15
51,2015-08-07,17.2,17.25,17.25,17.2,9000.0,1305250.0,11.0,0.14,1676.75,1690.44,1695.39,1676.75,23675267619.0,7921202680069.36
52,2015-08-10,16.55,16.55,16.55,16.55,1000.0,1321800.0,11.0,0.14,1690.47,1702.02,1702.7,1674.35,26308036402.0,7975456490569.79
53,2015-08-11,17.15,17.2,17.2,17.15,6000.0,1988500.0,11.0,0.15,1702.02,1697.87,1721.32,1694.61,31498785759.0,7956022347423.78
54,2015-08-12,15.0,15.0,15.5,14.95,21000.0,0.0,11.0,0.15,1697.9,1697.65,1703.59,1683.3,28603044801.0,7955011590038.31
55,2015-08-13,15.05,14.35,15.05,14.35,2000.0,0.0,11.0,0.15,1697.59,1704.11,1713.25,1689.99,26640564079.0,7985253574848.35
56,2015-08-14,15.8,14.0,15.8,14.0,28000.0,0.0,11.0,0.14,1704.14,1712.47,1723.32,1699.32,25961503163.0,8024436524348.6
57,2015-08-17,14.0,15.5,15.5,14.0,14000.0,626900.0,11.0,0.15,1712.48,1707.95,1714.94,1694.54,26216456403.0,8003266737710.08
58,2015-08-18,16.25,15.0,16.25,15.0,11000.0,0.0,11.0,0.15,1707.95,1691.24,1707.95,1685.83,22759319652.0,7924982495326.06
59,2015-08-24,16.0,16.0,16.0,16.0,1000.0,1268550.0,11.0,0.15,1659.31,1634.14,1659.31,1603.72,55532446893.0,7657401282884.6
60,2015-08-26,15.0,16.0,16.0,14.0,44000.0,643900.0,11.0,0.14,1658.32,1660.95,1675.07,1633.45,33226599969.0,7783030547207.07
61,2015-08-27,17.3,17.3,17.3,17.3,2000.0,678500.0,11.0,0.14,1661.0,1695.22,1697.22,1661.0,36548264407.0,7943597741451.54
62,2015-08-28,19.0,19.0,19.0,19.0,1000.0,697500.0,11.0,0.14,1695.23,1719.16,1723.18,1690.32,39788854447.0,8055795639176.5
63,2015-08-31,18.9,18.95,18.95,18.9,9000.0,867650.0,11.0,0.08,1718.06,1733.17,1733.17,1706.96,31957846027.0,8121427714303.33
64,2015-09-02,18.95,18.95,18.95,18.95,1000.0,902600.0,11.0,0.14,1697.98,1690.82,1716.97,1687.09,32130359306.0,7923004254544.28
65,2015-09-07,18.5,18.5,18.5,18.5,1000.0,905100.0,11.0,0.14,1698.16,1701.18,1708.58,1695.62,15677356931.0,7971537119350.72
66,2015-09-08,18.5,18.5,18.5,18.5,1000.0,923600.0,11.0,0.14,1701.82,1714.18,1732.63,1701.82,24740272103.0,8032461183385.67
67,2015-09-14,18.9,18.95,18.95,18.9,8000.0,0.0,11.0,0.14,1717.6,1729.75,1740.22,1716.12,23254616054.0,8105426603482.68
68,2015-09-21,18.95,18.95,18.95,18.95,1000.0,0.0,11.0,0.14,1710.87,1699.72,1719.18,1697.3,24417883513.0,7926971842837.68
69,2015-09-23,19.5,19.5,19.5,19.5,1000.0,0.0,11.0,0.14,1664.27,1640.7,1667.03,1638.18,34893774005.0,7651729676002.79
70,2015-09-25,19.5,22.95,27.0,19.5,4000.0,0.0,11.0,0.13,1621.44,1639.64,1648.3,1621.43,28866983905.0,7646770616450.99
71,2015-09-29,23.0,23.0,23.0,23.0,1000.0,0.0,11.0,0.13,1616.36,1630.51,1635.46,1606.83,24978201787.0,7604191400579.77
72,2015-10-09,16.5,16.5,16.5,16.5,1000.0,0.0,11.0,0.13,1690.66,1728.44,1734.75,1690.62,59473358331.0,8060935425783.45
73,2015-10-12,21.55,22.5,22.5,21.55,4000.0,0.0,11.0,0.13,1728.43,1710.6,1739.29,1699.74,39708317518.0,7977723238866.71
74,2015-11-02,20.1,19.0,20.1,19.0,5000.0,0.0,11.0,0.12,1710.9,1735.75,1737.18,1701.25,27528642884.0,8095019292843.71
75,2015-11-03,17.5,17.7,18.4,17.2,10000.0,0.0,11.0,0.12,1735.76,1763.6,1766.85,1734.22,38616091650.0,8224913376843.05
76,2015-11-06,16.1,16.0,16.9,16.0,14000.0,0.0,11.0,0.12,1766.18,1754.36,1778.18,1746.17,32548113463.0,8181828274404.8
77,2015-11-09,16.8,18.0,18.0,16.8,10000.0,0.0,11.0,0.12,1754.19,1751.44,1763.52,1742.36,24346689110.0,8168212939206.97
78,2015-11-10,18.0,18.0,18.0,18.0,2000.0,0.0,11.0,0.12,1751.45,1746.94,1754.61,1734.34,24785834899.0,8147218004866.98
79,2015-11-11,16.4,18.0,18.0,16.4,22000.0,606100.0,11.0,0.12,1747.02,1740.56,1756.09,1733.61,27352629549.0,8117453574798.54
80,2015-11-12,18.0,18.0,18.0,18.0,4000.0,904600.0,11.0,0.12,1739.29,1739.96,1750.71,1732.5,28871426903.0,8114637933037.61
81,2015-11-16,18.0,18.0,18.0,18.0,1000.0,1195800.0,11.0,0.13,1728.12,1739.8,1751.67,1726.31,30250393068.0,8113922642293.49
82,2015-11-17,18.0,18.0,18.0,18.0,1000.0,1114700.0,11.0,0.13,1740.98,1787.23,1792.88,1740.82,51356679699.0,8335115813909.51
83,2015-11-19,18.0,18.0,18.0,18.0,7000.0,1066600.0,11.0,0.12,1811.89,1811.2,1842.14,1805.41,54358055063.0,8390517131365.69
84,2015-11-23,17.4,17.4,17.4,17.4,1000.0,681700.0,11.0,0.12,1826.87,1868.07,1868.66,1811.85,47433558589.0,8654001508750.22
85,2015-11-26,17.4,17.5,17.5,17.4,2000.0,0.0,11.0,0.12,1833.97,1828.3,1850.39,1816.58,28497751669.0,8469743576010.28
86,2015-11-30,17.5,17.5,17.5,17.5,93000.0,0.0,11.0,0.08,1794.25,1771.05,1807.57,1771.05,37718548385.0,8204533047747.59
87,2015-12-01,17.5,17.5,17.5,17.5,2000.0,0.0,11.0,0.13,1771.05,1772.97,1785.29,1763.05,30147725961.0,8213410075032.63
88,2015-12-02,17.5,17.5,17.5,17.5,6000.0,1802400.0,11.0,0.13,1773.49,1770.13,1793.27,1760.51,28668714824.0,8200288963952.28
89,2015-12-03,17.5,17.5,17.5,17.5,4000.0,1889800.0,11.0,0.13,1770.1,1787.23,1792.38,1764.86,31739618819.0,8279470328504.91
90,2015-12-04,17.6,17.6,17.6,17.6,2000.0,1872700.0,11.0,0.13,1786.55,1755.22,1798.91,1741.6,38557264636.0,8131194740545.14
91,2015-12-07,18.0,18.0,18.0,18.0,8000.0,0.0,11.0,0.13,1756.11,1741.14,1767.34,1735.01,31536716363.0,8065979374507.88
92,2015-12-11,17.0,17.0,17.0,17.0,9000.0,2169700.0,11.0,0.14,1732.9,1720.31,1732.91,1711.81,27222724797.0,7969456501468.53
93,2015-12-16,15.5,15.5,15.5,15.5,1000.0,0.0,11.0,0.15,1743.03,1754.71,1759.09,1743.03,27528361110.0,8229136310922.7
94,2015-12-17,15.5,15.5,15.5,15.5,3000.0,0.0,11.0,0.37,1754.74,1780.97,1786.18,1754.74,41887265524.0,8352257087713.71
95,2015-12-21,14.1,14.0,14.1,14.0,3000.0,0.0,11.0,0.36,1719.44,1716.91,1737.12,1710.32,27784033639.0,8051860996974.13
96,2015-12-23,15.7,15.7,15.7,15.7,1000.0,0.0,11.0,0.36,1718.65,1747.85,1747.85,1718.65,27157609995.0,8196920883772.12
97,2015-12-24,16.0,16.0,16.0,16.0,3000.0,0.0,11.0,0.36,1747.86,1742.71,1757.5,1738.72,23442337367.0,8172847845164.05
98,2015-12-25,16.0,16.0,16.0,16.0,1000.0,0.0,11.0,0.36,1743.77,1734.21,1745.96,1728.27,10322254757.0,8132969588048.41
99,2016-01-11,16.9,16.9,16.9,16.9,2000.0,0.0,11.0,0.36,1748.04,1682.54,1748.06,1681.58,31299887238.0,7890662686243.83
100,2016-01-15,17.0,17.0,17.0,17.0,1000.0,0.0,11.0,0.36,1680.81,1608.36,1686.85,1597.62,50283185458.0,7542750951116.24
101,2016-01-18,17.0,17.0,17.0,17.0,1000.0,0.0,11.0,0.36,1607.88,1622.43,1631.58,1583.02,32366912468.0,7608746291116.44
102,2016-01-21,18.0,18.0,18.0,18.0,3000.0,0.0,11.0,0.37,1630.57,1677.19,1684.08,1630.17,43326301552.0,7865575606828.17
103,2016-01-22,18.0,18.0,18.0,18.0,1000.0,0.0,11.0,0.38,1683.75,1717.98,1730.24,1682.89,60488647098.0,8056861861103.85
104,2016-01-25,18.0,18.0,18.0,18.0,2000.0,0.0,11.0,0.38,1718.25,1716.56,1726.96,1700.35,34894234976.0,8050204153420.46
105,2016-01-27,18.3,18.3,18.3,18.3,3000.0,0.0,11.0,0.38,1705.1,1747.57,1747.57,1705.1,37416392162.0,8195618736355.51
106,2016-01-28,18.3,18.3,18.3,18.3,2000.0,0.0,11.0,0.38,1747.63,1771.93,1771.93,1739.8,49890474263.0,8309881375880.34
107,2016-01-29,18.4,18.5,18.5,18.4,2000.0,0.0,11.0,0.29,1772.01,1784.92,1788.29,1758.6,51457275614.0,8370803644432.81
108,2016-02-03,19.0,20.0,20.0,19.0,2000.0,0.0,11.0,0.38,1757.9,1746.35,1766.28,1744.73,31399278725.0,8189891600651.24
109,2016-02-15,20.0,20.0,20.0,20.0,1000.0,0.0,11.0,0.38,1726.08,1738.54,1746.43,1726.08,24247759999.0,8153258999276.59
110,2016-02-19,20.0,17.3,20.0,16.5,13000.0,0.0,11.0,0.38,1805.82,1793.37,1805.82,1778.96,39618767600.0,8410440500487.69
111,2016-02-20,17.3,17.6,17.6,17.3,7000.0,0.0,11.0,0.38,1793.68,1790.15,1798.77,1786.92,5664688455.0,8395329269305.82
112,2016-02-25,16.9,16.9,16.9,16.9,2000.0,0.0,11.0,0.37,1802.37,1803.89,1819.19,1777.7,36117737702.0,8459770639290.38
113,2016-02-26,17.0,17.3,17.3,17.0,3000.0,0.0,11.0,0.37,1815.99,1816.73,1831.7,1811.66,42036927929.0,8519970559718.49
114,2016-02-29,18.0,18.0,18.0,18.0,2000.0,0.0,11.0,0.29,1811.53,1840.17,1841.56,1798.51,37246813480.0,8629888018618.01
115,2016-03-01,18.4,18.4,18.4,18.4,1000.0,0.0,11.0,0.36,1841.43,1844.17,1851.88,1838.41,34696163781.0,8648662826848.22
116,2016-03-02,18.0,18.0,18.0,18.0,1000.0,509100.0,11.0,0.37,1853.32,1832.84,1856.08,1826.41,31781946857.0,8595527651581.95
117,2016-03-07,18.0,18.0,18.0,18.0,1000.0,0.0,11.0,0.36,1883.38,1909.57,1909.57,1883.38,29139566559.0,8955362730733.7
118,2016-03-10,20.0,20.0,20.0,20.0,2000.0,0.0,11.0,0.36,1885.97,1884.63,1896.06,1875.62,36327060323.0,8838407641602.97
119,2016-03-11,20.0,20.0,20.0,20.0,2000.0,0.0,11.0,0.36,1886.85,1876.54,1888.77,1868.22,32491751021.0,8800484528875.71
120,2016-03-17,21.0,20.0,21.0,20.0,2000.0,0.0,11.0,0.37,1876.61,1890.79,1900.12,1874.39,48983666812.0,8881072193569.86
121,2016-03-18,20.0,20.0,20.0,20.0,1000.0,0.0,11.0,0.37,1892.81,1914.02,1923.5,1885.15,60565280404.0,8990176444871.66
122,2016-03-21,20.0,20.0,20.0,20.0,5000.0,0.0,11.0,0.37,1905.96,1904.5,1906.34,1886.76,42865443241.0,8945454172113.73
123,2016-03-22,20.0,20.0,20.0,20.0,1000.0,0.0,11.0,0.37,1905.76,1903.47,1916.27,1888.59,45321565756.0,8940605639223.16
124,2016-03-28,20.0,20.0,20.0,20.0,6000.0,0.0,11.0,0.37,1871.93,1849.31,1879.47,1844.73,18025672622.0,8686232001170.03
125,2016-03-30,19.7,19.7,19.7,19.7,4000.0,0.0,11.0,0.37,1853.35,1868.1,1876.32,1847.78,33986198968.0,8774482922869.89
126,2016-03-31,19.0,19.0,19.0,19.0,3000.0,0.0,11.0,0.25,1865.1,1871.15,1876.55,1851.35,45584903988.0,8788788420507.34
127,2016-04-07,15.5,19.9,19.9,15.5,2000.0,0.0,11.0,0.37,1865.97,1858.85,1872.51,1848.19,30873260816.0,8731016964763.51
128,2016-04-08,19.9,19.9,19.9,19.9,1000.0,0.0,11.0,0.37,1860.93,1877.27,1879.64,1857.44,36347673679.0,8817564787650.27
129,2016-04-18,19.9,20.0,20.0,19.9,2000.0,0.0,11.0,0.37,1888.97,1892.64,1896.36,1867.61,41215654752.0,8889725692019.05
130,2016-06-20,22.5,22.0,22.5,21.5,400.0,0.0,10.5,0.38,1889.26,1902.7,1906.46,1889.26,23905965961.0,8753246099475.53
131,2016-06-21,15.9,19.5,19.5,15.6,1900.0,0.0,10.5,0.38,1902.44,1904.02,1910.25,1884.64,25623356487.0,8759305346812.69
132,2016-07-01,18.5,18.5,18.5,18.5,100.0,0.0,10.5,0.41,1891.03,1896.62,1900.41,1880.63,21687427919.0,8725259797675.25
133,2016-07-04,14.3,16.5,16.5,14.3,300.0,0.0,10.5,0.41,1899.35,1907.48,1913.48,1896.4,21216107420.0,8775211776254.44
134,2016-07-06,18.5,14.5,18.5,10.0,58500.0,737550.0,10.5,0.4,1892.26,1879.42,1896.71,1871.47,26739811593.0,8646128292166.21
135,2016-07-07,12.5,13.8,14.6,12.5,5900.0,816090.0,10.5,0.4,1887.12,1882.41,1901.57,1878.47,31628682372.0,8659895501341.24
136,2016-07-08,13.4,14.9,15.2,12.5,7000.0,0.0,10.5,0.4,1873.49,1894.35,1896.82,1860.55,35441247831.0,8714802277592.61
137,2016-07-11,13.7,14.9,14.9,13.5,4000.0,0.0,10.5,0.4,1891.05,1913.12,1914.31,1887.1,28424172954.0,8801167777292.67
138,2016-07-12,15.0,14.5,19.0,12.7,33500.0,511910.0,10.5,0.4,1913.84,1938.36,1942.69,1911.91,33035090032.0,8917293117519.42
139,2016-07-13,16.0,15.0,16.0,15.0,900.0,525610.0,10.5,0.4,1937.35,1935.88,1945.76,1928.5,38363975761.0,8905874962433.33
140,2016-07-14,14.2,14.5,14.9,14.2,2900.0,0.0,10.5,0.4,1938.54,1942.46,1944.85,1921.75,33861336650.0,8936155396105.96
141,2016-07-15,14.4,14.5,14.5,14.4,900.0,0.0,10.5,0.4,1931.66,1940.85,1943.63,1928.57,36466881812.0,8928722471672.54
142,2016-07-18,15.3,14.1,15.7,14.1,1100.0,0.0,10.5,0.4,1937.77,1936.07,1948.54,1920.18,30425666764.0,8906730682781.37
143,2016-07-19,15.2,14.5,17.9,14.5,5000.0,0.0,10.5,0.4,1921.12,1915.89,1929.11,1903.1,32775563013.0,8813895138898.98
144,2016-07-20,13.6,13.8,15.9,13.5,9400.0,0.0,10.5,0.4,1915.49,1915.09,1921.23,1896.0,27902451635.0,8810217186587.95
