,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-10,0.136,0.136,0.136,0.136,10000.0,0.0,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
1,2014-06-16,0.1253,0.132,0.14,0.1253,310000.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
2,2014-06-19,0.13,0.131,0.131,0.13,140000.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
3,2014-06-20,0.1251,0.1251,0.1251,0.1251,20000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
4,2014-06-23,0.1404,0.145,0.16,0.14,1830000.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
5,2014-06-24,0.1574,0.157,0.165,0.145,1160000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
6,2014-06-26,0.1515,0.15,0.1515,0.15,80000.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
7,2014-06-27,0.1588,0.143,0.1588,0.143,70000.0,0.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
8,2014-06-30,0.14,0.14,0.14,0.14,50000.0,0.0,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
9,2014-07-01,0.1401,0.1401,0.1401,0.1401,20000.0,0.0,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
10,2014-07-02,0.1561,0.157,0.157,0.1561,300000.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
11,2014-07-03,0.1351,0.1351,0.1351,0.1351,10000.0,0.0,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
12,2014-07-07,0.1409,0.1409,0.1409,0.1409,130000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
13,2014-07-10,0.145,0.145,0.15,0.1425,650000.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
14,2014-07-11,0.1404,0.14,0.1404,0.14,230000.0,0.0,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
15,2014-07-18,0.137,0.1444,0.1444,0.137,60000.0,0.0,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
16,2014-07-22,0.1371,0.1361,0.1453,0.125,500000.0,0.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
17,2014-07-23,0.135,0.1417,0.1417,0.13,190000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
18,2014-07-24,0.1385,0.1384,0.1385,0.1384,50000.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
19,2014-07-30,0.122,0.122,0.122,0.122,10000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
20,2014-07-31,0.1268,0.1417,0.1417,0.1267,650000.0,0.0,8.0,0.08,1383.04,1379.61,1399.12,1376.48,29121177754.0,6220179585134.02
21,2014-08-01,0.128,0.1311,0.135,0.1275,1020000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
22,2014-08-04,0.1301,0.1314,0.1314,0.1275,800000.0,0.0,8.0,0.09,1375.73,1378.98,1386.43,1365.01,26195753576.0,6217358216917.08
23,2014-08-06,0.1141,0.13,0.13,0.1009,90000.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
24,2014-08-07,0.1154,0.1293,0.1293,0.1153,30000.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
25,2014-08-08,0.1151,0.1285,0.1285,0.1151,80000.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
26,2014-08-11,0.13,0.1283,0.13,0.126,130000.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
27,2014-08-12,0.1305,0.1305,0.1305,0.1305,40000.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
28,2014-08-14,0.1305,0.1291,0.1305,0.1291,40000.0,0.0,8.0,0.09,1399.07,1407.53,1412.88,1391.65,32917275901.0,6346061682927.05
29,2014-08-15,0.1324,0.132,0.1349,0.132,710000.0,0.0,8.0,0.09,1407.57,1417.82,1425.76,1400.7,26772144978.0,6392466871442.37
30,2014-08-18,0.13,0.1327,0.138,0.13,860000.0,0.0,8.0,0.09,1418.05,1425.18,1427.95,1415.35,18156608193.0,6425664882271.03
31,2014-08-19,0.1303,0.1303,0.1303,0.1303,10000.0,0.0,8.0,0.09,1425.18,1437.6,1441.42,1425.18,25673186641.0,6481651396810.93
32,2014-08-21,0.116,0.1152,0.116,0.1152,30000.0,0.0,8.0,0.09,1447.12,1461.75,1469.44,1445.48,28439597629.0,6590528216157.51
33,2014-08-22,0.116,0.116,0.116,0.116,10000.0,0.0,8.0,0.09,1461.79,1446.6,1463.71,1434.09,28861993115.0,6522253115433.8
34,2014-08-26,0.125,0.1346,0.1348,0.125,50000.0,0.0,8.0,0.09,1454.47,1443.32,1460.0,1441.42,19706721633.0,6507455779142.91
35,2014-08-29,0.1151,0.1161,0.1161,0.1151,420000.0,0.0,8.0,0.07,1423.56,1400.71,1428.72,1400.44,34660154972.0,6315320939623.29
36,2014-09-02,0.1185,0.1181,0.1185,0.1181,6000000.0,769625.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
37,2014-09-09,0.129,0.1266,0.129,0.1251,2070000.0,0.0,8.0,0.09,1465.13,1468.17,1479.64,1465.13,22936789195.0,6619470791030.01
38,2014-09-10,0.1371,0.1371,0.1371,0.1371,10000.0,0.0,8.0,0.09,1466.99,1468.55,1472.23,1456.21,19594281049.0,6621186609667.49
39,2014-09-12,0.1366,0.1367,0.1367,0.1366,30000.0,0.0,8.0,0.09,1449.4,1458.52,1470.49,1440.23,30540111711.0,6575983608620.8
40,2014-09-15,0.1429,0.1368,0.1429,0.1368,30000.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
41,2014-09-16,0.1333,0.1279,0.1379,0.1279,110000.0,0.0,8.0,0.09,1454.13,1477.31,1483.66,1451.21,34534659889.0,7036330612381.47
42,2014-09-19,0.1375,0.137,0.1375,0.1199,180000.0,0.0,8.0,0.09,1448.19,1431.58,1454.16,1423.44,41661321148.0,6818524090027.49
43,2014-09-23,0.1348,0.1373,0.1375,0.1273,470000.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
44,2014-09-24,0.13,0.1369,0.137,0.13,280000.0,0.0,8.0,0.09,,,,,,
45,2014-09-25,0.1389,0.14,0.145,0.1389,410000.0,0.0,8.0,0.09,,,,,,
46,2014-09-26,0.1398,0.142,0.142,0.1398,500000.0,0.0,8.0,0.09,,,,,,
47,2014-09-29,0.1401,0.1401,0.1401,0.1401,60000.0,0.0,8.0,0.08,,,,,,
48,2014-09-30,0.144,0.144,0.144,0.1436,1080000.0,0.0,8.0,0.07,,,,,,
49,2014-10-01,0.1165,0.128,0.14,0.1165,420000.0,0.0,8.0,0.09,,,,,,
50,2014-10-03,0.1445,0.1465,0.1465,0.1445,810000.0,0.0,8.0,0.09,,,,,,
51,2014-10-06,0.147,0.15,0.15,0.147,500000.0,0.0,8.0,0.09,,,,,,
52,2014-10-07,0.15,0.1485,0.167,0.1485,100000.0,0.0,8.0,0.09,,,,,,
53,2014-10-08,0.145,0.145,0.145,0.145,180000.0,0.0,8.0,0.09,,,,,,
54,2014-10-10,0.145,0.1465,0.1465,0.145,600000.0,0.0,8.0,0.09,,,,,,
