,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-19,0.1315,0.1315,0.1315,0.1315,10000.0,0.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
1,2014-06-20,0.135,0.135,0.135,0.135,300000.0,0.0,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
2,2014-06-24,0.1499,0.14,0.159,0.14,1060000.0,0.0,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
3,2014-07-02,0.1305,0.1305,0.1305,0.1305,30000.0,0.0,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
4,2014-07-07,0.145,0.145,0.145,0.145,730000.0,0.0,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
5,2014-07-09,0.1449,0.1449,0.1449,0.1449,10000.0,0.0,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
6,2014-07-23,0.136,0.1395,0.1497,0.1359,140000.0,0.0,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
7,2014-07-24,0.1301,0.1399,0.1399,0.1301,80000.0,0.0,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
8,2014-07-25,0.139,0.1388,0.1499,0.1302,160000.0,0.0,7.5,0.09,1408.19,1388.41,1408.19,1386.14,29628586311.0,6259875281029.59
9,2014-07-28,0.1301,0.136,0.136,0.13,150000.0,0.0,8.0,0.09,1387.12,1361.94,1387.14,1357.03,30461885017.0,6140507803885.11
10,2014-07-29,0.1449,0.1399,0.1449,0.13,150000.0,0.0,8.0,0.09,1361.22,1369.83,1380.29,1356.62,35280719684.0,6176106230122.06
11,2014-07-30,0.1206,0.132,0.132,0.1206,80000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
12,2014-08-01,0.1321,0.135,0.1399,0.1321,100000.0,0.0,8.0,0.09,1378.03,1374.83,1378.1,1358.11,33134471815.0,6198666221991.83
13,2014-08-05,0.1207,0.135,0.135,0.1207,80000.0,0.0,8.0,0.09,1379.5,1357.89,1383.36,1356.2,26258554225.0,6122263369324.38
14,2014-08-06,0.1201,0.1394,0.1394,0.12,60000.0,0.0,8.0,0.09,1357.33,1334.66,1362.22,1333.37,44555802086.0,6017513533119.65
15,2014-08-07,0.1364,0.136,0.1364,0.13,190000.0,0.0,8.0,0.09,1333.39,1333.53,1340.84,1306.8,46389687389.0,6012422895099.08
16,2014-08-08,0.1359,0.1355,0.1359,0.1203,90000.0,0.0,8.0,0.09,1332.26,1348.21,1360.49,1329.1,34479528820.0,6078629580593.59
17,2014-08-11,0.1299,0.135,0.135,0.1299,340000.0,0.0,8.0,0.09,1350.42,1372.45,1379.22,1350.42,31225367926.0,6187929554027.43
18,2014-08-12,0.1316,0.1424,0.1424,0.1315,50000.0,0.0,8.0,0.09,1372.94,1374.19,1386.2,1368.1,30027011620.0,6195754643005.9
