,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-04,1546.7,1170.0,1546.8,1163.0,35146.0,46288721.8,7.5,0.09,1472.06,1475.79,1482.68,1466.02,32306371771.0,6660072041624.13
1,2014-06-05,1187.3,1145.1,1195.0,1141.1,24974.0,28926111.8,7.5,0.09,1476.06,1470.7,1483.88,1465.87,36330897151.0,6637107968872.48
2,2014-06-06,1158.3,1163.0,1173.5,1151.0,7889.0,9160131.4,7.5,0.09,1470.73,1484.94,1486.59,1457.67,38599777176.0,6701382403709.4
3,2014-06-09,1178.9,1172.1,1185.6,1155.7,7304.0,8481667.4,7.5,0.09,1485.27,1485.39,1497.96,1484.27,26374925321.0,6703389584499.5
4,2014-06-10,1178.9,1170.0,1181.0,1160.1,3216.0,3757976.1,7.5,0.09,1485.24,1490.81,1490.81,1475.97,29430518122.0,6727878661888.41
5,2014-06-11,1175.0,1179.9,1183.0,1157.1,8837.0,10370814.5,7.5,0.09,1490.8,1501.18,1501.18,1487.42,28766800825.0,6774671182337.95
6,2014-06-16,1164.0,1165.0,1181.2,1150.0,13904.0,16246738.3,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
7,2014-06-17,1157.5,1185.5,1187.7,1157.5,8519.0,10021749.0,7.5,0.1,1494.08,1486.38,1501.62,1479.97,31469206875.0,6701603836493.8
8,2014-06-18,1180.1,1182.9,1185.0,1176.0,1455.0,1717814.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
9,2014-06-19,1176.0,1168.0,1182.7,1165.0,1396.0,1630655.0,7.5,0.1,1494.99,1495.09,1508.95,1493.52,33365816577.0,6740873879562.54
10,2014-06-20,1165.2,1175.0,1179.0,1160.0,2702.0,3162718.8,7.5,0.1,1494.87,1486.3,1496.0,1480.97,33968939809.0,6701221459653.83
11,2014-06-23,1193.1,1196.0,1218.8,1185.0,14181.0,16956663.1,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
12,2014-06-24,1200.0,1191.8,1208.9,1191.0,3895.0,4675791.3,7.5,0.1,1487.1,1518.83,1519.09,1487.1,47131621979.0,6847889490714.55
13,2014-06-25,1185.1,1176.8,1195.0,1153.1,3985.0,4626568.4,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
14,2014-06-26,1185.0,1185.0,1188.5,1168.9,2403.0,2814511.9,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
15,2014-06-27,1172.1,1185.0,1197.0,1165.0,1148.0,1358063.0,7.5,0.1,1473.31,1477.32,1481.29,1467.94,24506324520.0,6660748008656.28
16,2014-06-30,1185.0,1218.0,1218.1,1184.1,8754.0,10430755.3,7.5,0.09,1477.29,1476.38,1478.43,1460.38,25738557239.0,6656518301188.77
17,2014-07-01,1212.5,1218.2,1239.8,1212.5,3036.0,3710863.3,7.5,0.1,1476.28,1482.92,1483.23,1461.45,24341254952.0,6685963285418.53
18,2014-07-02,1218.0,1200.0,1220.0,1195.0,33473.0,40464426.5,7.5,0.1,1482.91,1514.33,1514.33,1482.84,34698039203.0,6827605376473.82
19,2014-07-03,1189.6,1192.0,1213.8,1184.0,25620.0,30708550.6,7.5,0.09,1514.66,1514.47,1522.21,1510.66,29541346787.0,6828240267478.4
20,2014-07-04,1184.9,1186.0,1204.9,1183.0,2133.0,2545939.5,7.5,0.09,1515.53,1489.53,1516.36,1485.52,25432309583.0,6715772755003.5
21,2014-07-07,1200.0,1160.0,1211.8,1152.0,19359.0,22564599.9,7.5,0.1,1489.55,1513.72,1518.05,1484.27,26447591867.0,6824843528813.94
22,2014-07-08,1165.0,1113.4,1180.0,1100.0,26565.0,30074299.2,7.5,0.09,1513.76,1516.75,1532.08,1512.68,36406962321.0,6838516742220.45
23,2014-07-09,1100.0,1094.0,1111.0,1073.8,19466.0,21121716.6,7.5,0.09,1516.29,1513.38,1518.6,1496.79,28433619876.0,6823335238301.22
24,2014-07-10,1102.5,1077.8,1125.7,1061.5,11235.0,12217687.5,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
25,2014-07-11,1072.2,1099.3,1101.5,1056.0,35563.0,39026692.7,7.5,0.09,1495.01,1499.82,1502.23,1488.84,27280591834.0,6762191289526.07
26,2014-07-14,1109.6,1118.9,1123.5,1090.2,6202.0,6875658.8,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
27,2014-07-15,1123.3,1114.3,1127.5,1110.0,2789.0,3108911.6,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
28,2014-07-16,1114.2,1106.5,1115.5,1098.1,7340.0,8101448.6,7.5,0.09,1475.68,1474.72,1482.6,1459.08,31471423221.0,6649014803543.48
29,2014-07-17,1098.0,1088.0,1107.5,1067.6,7221.0,7919204.2,7.5,0.09,1470.83,1440.63,1470.83,1429.08,46983315494.0,6495297231665.95
30,2014-07-18,1084.2,1072.3,1084.2,1054.1,7146.0,7591254.7,7.5,0.09,1440.54,1422.53,1440.54,1410.48,40033266979.0,6413710020809.31
31,2014-07-21,1080.0,1047.5,1081.4,1035.0,8353.0,8905579.1,7.5,0.1,1422.53,1384.5,1424.64,1384.5,39527909818.0,6242240077462.93
32,2014-07-22,1050.4,1060.0,1060.0,1043.9,10468.0,10984944.0,7.5,0.09,1386.14,1405.97,1414.21,1386.14,35820774896.0,6339040079280.09
33,2014-07-23,1061.4,1056.2,1062.0,1047.4,5286.0,5580904.9,7.5,0.09,1406.5,1406.58,1421.56,1395.74,29647055743.0,6341809496909.95
34,2014-07-24,1056.2,1077.8,1093.4,1048.3,5186.0,5572067.6,7.5,0.09,1405.58,1408.8,1410.75,1394.04,25372742027.0,6351783470052.68
