,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-18,81.998,81.998,81.998,81.998,200.0,0.0,7.5,0.1,1486.47,1494.28,1500.39,1484.51,33911920376.0,6737184533664.86
1,2014-06-25,68.0,68.0,68.0,68.0,100.0,0.0,7.5,0.1,1517.62,1481.95,1517.62,1479.28,39009853271.0,6681597356223.42
2,2014-09-01,69.0,74.0,74.0,69.0,2600.0,0.0,8.0,0.07,1401.34,1392.4,1419.9,1389.77,34518068575.0,6277859256745.77
3,2014-09-02,78.0,86.02,86.02,78.0,3800.0,0.0,8.0,0.09,1392.27,1400.35,1401.68,1386.31,20818865093.0,6313723045613.47
4,2014-09-03,70.0,70.0,70.0,70.0,3800.0,761678.0,8.0,0.09,1400.44,1449.29,1452.92,1400.44,56947742576.0,6534374903303.01
5,2014-10-27,60.1,60.1,60.1,60.1,100.0,0.0,8.0,0.09,,,,,,
6,2015-01-14,75.0,75.0,75.0,75.0,100.0,0.0,17.0,0.12,1531.65,1554.46,1560.01,1524.69,32105492806.0,7205690234312.64
7,2015-01-16,88.0,88.0,88.0,88.0,100.0,0.0,17.0,0.13,1563.21,1591.43,1594.06,1551.01,30068854489.0,7377090247817.62
8,2015-02-04,50.0,50.0,50.0,50.0,300.0,0.0,15.0,0.11,1655.5,1656.02,1665.09,1643.24,28406694409.0,7676490091070.59
9,2015-03-06,43.3,50.1,50.1,43.3,200.0,0.0,15.0,0.12,1761.29,1728.55,1766.86,1723.09,28339130028.0,8012721518510.74
10,2015-04-10,83.8,75.0,83.8,75.0,6800.0,0.0,14.0,0.12,1667.62,1657.02,1674.48,1635.85,45171576856.0,7783510247485.24
11,2015-04-16,46.8,89.0,89.0,46.2,600.0,0.0,14.0,0.13,1678.04,1686.79,1689.29,1661.38,44360086518.0,7923364850234.14
12,2015-06-01,53.5,63.0,63.0,53.5,2000.0,0.0,12.5,0.12,1610.07,1616.94,1640.93,1610.07,30875246625.0,7595236170641.53
