,date,open,close,high,low,volume,value_traded,key_rate_BankСb,key_rate_NewyorkfredAPI,imoex_open,imoex_close,imoex_high,imoex_low,imoex_value,imoex_capitalization
0,2014-06-16,69.09,69.09,69.09,69.09,100.0,0.0,7.5,0.1,1501.17,1493.93,1501.17,1467.09,64386743439.0,6741944936994.55
1,2014-06-23,78.0,78.0,78.0,78.0,100.0,0.0,7.5,0.1,1486.33,1486.3,1498.9,1478.63,27991633367.0,6701205950859.68
2,2014-06-26,68.0,68.0,68.0,68.0,3100.0,0.0,7.5,0.1,1482.13,1473.18,1489.68,1465.15,33389595355.0,6642085990560.66
3,2014-07-10,65.01,65.0,65.01,65.0,200.0,0.0,7.5,0.09,1513.37,1494.92,1521.88,1480.26,40593712934.0,6740109174597.83
4,2014-07-14,65.0,65.0,65.0,65.0,100.0,0.0,7.5,0.09,1500.29,1483.41,1502.68,1482.63,25874350380.0,6688204369898.62
5,2014-07-15,60.0,60.0,60.0,60.0,900.0,0.0,7.5,0.09,1482.23,1475.77,1487.49,1471.95,31348119170.0,6653730932218.92
6,2014-07-30,62.01,67.95,67.95,62.01,2000.0,0.0,8.0,0.09,1368.72,1382.14,1403.6,1359.65,40179117327.0,6231580896817.33
7,2014-08-13,62.0,62.0,62.0,62.0,100.0,0.0,8.0,0.09,1373.64,1398.85,1402.38,1373.27,33763586053.0,6306941447520.57
8,2014-09-15,60.1,60.1,60.1,60.1,400.0,0.0,8.0,0.09,1457.87,1454.19,1466.43,1441.26,36468665661.0,6556462216365.1
9,2014-09-23,55.05,55.05,55.05,55.05,100.0,0.0,8.0,0.09,1413.57,1429.45,1432.37,1413.49,25653683539.0,6808383919755.99
10,2014-10-30,50.0,55.0,55.0,50.0,400.0,0.0,8.0,0.09,1438.8,1452.89,1456.88,1428.36,49073324158.0,6920053939430.49
11,2014-11-25,50.0,50.0,50.0,50.0,1000.0,0.0,9.5,0.1,1529.62,1529.57,1537.65,1516.18,27545836432.0,7285244990377.67
12,2014-12-02,46.0,45.0,46.0,45.0,500.0,0.0,9.5,0.12,1578.4,1583.12,1596.96,1555.89,46843420167.0,7540317495902.56
13,2014-12-15,29.4,40.0,40.0,29.4,1900.0,0.0,10.5,0.11,1459.25,1424.99,1483.38,1402.83,68027939909.0,6787127409924.95
14,2014-12-16,40.0,40.0,40.0,40.0,100.0,0.0,17.0,0.12,1424.72,1444.32,1484.06,1309.6,100830509677.0,6695173218130.9
15,2014-12-22,41.0,41.0,41.0,41.0,700.0,0.0,17.0,0.13,1452.95,1437.08,1466.34,1421.39,50209370839.0,6661583735341.69
16,2014-12-23,43.0,43.0,43.0,43.0,100.0,0.0,17.0,0.13,1437.08,1398.2,1446.31,1391.38,42501810335.0,6481362092230.03
17,2014-12-24,43.0,43.0,43.0,43.0,200.0,0.0,17.0,0.13,1398.2,1401.5,1411.56,1383.61,28015719243.0,6496652700159.9
